Rank,Coin Name,Symbol,Price,1h,24h,7d,30d,24h Volume,Circulating Supply,Total Supply,Market Cap,price,1h_pct,24h_pct,7d_pct,30d_pct,volume,market_cap,supply,is_stablecoin,cap_tier,vol_mcap_ratio,is_high_liq_flag,is_return_outlier
522,Velas,VLX,0.02,0.10%,-4.00%,0.80%,131.00%,"$889,940.00 ","2,525,445,015",2.53 Billion,"$41,608,867.00 ",0.02,0.1,-4.0,0.8,131.0,889940.0,41608867.0,2525445015.0,False,Small,0.021388229580968882,False,False
523,Sommelier,SOMM,0.17,0.20%,0.30%,12.80%,43.40%,"$89,351.00 ","249,643,969",500 Million,"$41,525,038.00 ",0.17,0.2,0.3,12.8,43.4,89351.0,41525038.0,249643969.0,False,Small,0.0021517379466335466,False,False
524,UXD Protocol,UXP,0.01,1.60%,-2.70%,1.40%,9.90%,"$10,201.00 ","3,995,967,598",7 Billion,"$41,520,180.00 ",0.01,1.6,-2.7,1.4,9.9,10201.0,41520180.0,3995967598.0,False,Small,0.0002456877595424683,False,False
525,IDEX,IDEX,0.05,0.70%,-3.80%,-8.10%,14.20%,"$4,748,186.00 ","790,936,389",1 Billion,"$41,456,414.00 ",0.05,0.7,-3.8,-8.1,14.2,4748186.0,41456414.0,790936389.0,False,Small,0.11453441197301821,False,False
526,Uquid Coin,UQC,4.14,0.20%,-3.70%,-8.30%,24.80%,"$15,779.00 ","10,000,000",40 Million,"$41,390,186.00 ",4.14,0.2,-3.7,-8.3,24.8,15779.0,41390186.0,10000000.0,False,Small,0.0003812256364346853,False,False
527,Orchid Protocol,OXT,0.07,0.30%,-7.70%,-4.80%,11.00%,"$7,143,199.00 ","591,544,729",1 Billion,"$41,366,824.00 ",0.07,0.3,-7.7,-4.8,11.0,7143199.0,41366824.0,591544729.0,False,Small,0.1726794157559691,False,False
528,Nexa,NEXA, $-   ,0.80%,25.20%,62.10%,140.50%,"$2,359,665.00 ","4,117,370,000,000",4.12 Trillion,"$41,290,629.00 ",,0.8,25.2,62.1,140.5,2359665.0,41290629.0,4117370000000.0,False,Small,0.05714771262021705,False,False
529,Flamingo Finance,FLM,0.08,0.40%,-3.80%,-10.20%,4.50%,"$3,351,558.00 ","535,479,448",535 Million,"$41,262,893.00 ",0.08,0.4,-3.8,-10.2,4.5,3351558.0,41262893.0,535479448.0,False,Small,0.08122450357516134,False,False
530,Mdex (HECO),MDX,0.04,1.50%,-3.60%,-5.60%,5.10%,"$353,146.00 ","950,246,687",1.06 Billion,"$41,221,385.00 ",0.04,1.5,-3.6,-5.6,5.1,353146.0,41221385.0,950246687.0,False,Small,0.008567058093754007,False,False
531,GuildFi,GF,0.09,0.50%,0.00%,12.10%,93.90%,"$2,385,123.00 ","475,227,166",1 Billion,"$41,114,512.00 ",0.09,0.5,0.0,12.1,93.9,2385123.0,41114512.0,475227166.0,False,Small,0.0580117064261884,False,False
532,ALEX Lab,ALEX,0.06,-0.60%,4.90%,14.60%,23.50%,"$1,149,342.00 ","638,100,028",638 Million,"$40,978,452.00 ",0.06,-0.6,4.9,14.6,23.5,1149342.0,40978452.0,638100028.0,False,Small,0.02804747236425622,False,False
